1605.5,1528.6,1542.2,1371,2018.7,1677.2,1127.9,1439.5,1118.3,1311.4,1650.6,1554.3
1519,1319,1461.4,1182.2,1942,1423.8,1063.5,1502.5,1061.3,1377.6,1612.3,1617.9
1389.1,1163.5,1336.6,1040.6,1867,1252.4,1036.5,1503.1,1037.2,1380,1595.6,1617.2
1287.5,1079.8,1230,962.48,1835.6,1163,979.11,1447.5,979.31,1331.6,1567.8,1559.6
1296.1,1154.2,1241.3,1029.5,1832.3,1247.2,846.84,1334,840.21,1230.6,1519.5,1444.4
1276.9,1349.3,1250.8,1214.7,1750.5,1459,816.68,1217.6,787.17,1118,1548.2,1330.9
1162.3,1536.3,1165,1398.3,1640.5,1653.1,882.14,1156.6,841.75,1052.9,1602.2,1268.5
1088.7,1598.7,1100.6,1464.9,1597,1714.8,926.79,1151.3,884.31,1045.3,1625.2,1260
934.3,1578.4,925.01,1464.4,1597.5,1696.8,544.92,1284.4,554.83,1195.2,1308.1,1398.4
894.28,1407.9,884.04,1301.2,1561,1519.9,402.61,1333.4,407.76,1254.8,1245,1444.1
775.57,1220.8,757.91,1123.8,1501.2,1334.9,291.87,1354.3,289.4,1283.7,1205.9,1464.8
636.25,1080.2,600.48,987.34,1458.6,1203,211.86,1338.4,197.12,1272.4,1185.8,1453.4
563.09,1052.3,518.31,960.4,1428.8,1184.2,142.89,1312.9,114.44,1251.9,1168.8,1431.3
556.02,1128.6,525.24,1036,1392.1,1256,85.742,1296.9,50.454,1239.3,1138.9,1418.4
541.16,1299.5,539.49,1207.5,1336.4,1413.9,50.522,1282.6,11.745,1226.2,1121.6,1407.4
482.76,1526,502.06,1439,1281.7,1619.7,57.216,1281.6,20.462,1225.2,1114.3,1405.4
402.3,1610.1,383.62,1540.2,1358.7,1707.8,3.9755,1374,14.686,1325.6,1007.4,1477.8
1923.8,1220.9,1938.8,1071.4,1528.6,1287.5,1762.2,828.72,1708,715.05,1830.1,842.18
1935.1,1218.9,1936.9,1067.3,1588.2,1286.2,1719.4,810.09,1670.8,700.37,1808.3,828.47
1972.2,1223.1,1964.6,1071.6,1620.7,1289.5,1695.2,832.55,1650.1,723.43,1794.1,859.61
2028.6,1237.2,2030.1,1081.5,1569.1,1303.3,1752.7,887.35,1701.8,770.33,1821.3,912.22
2043.6,1272.1,2078.4,1109.9,1395.9,1331.2,1933.5,969.73,1863.9,843.72,1889.1,992.35
1955.5,1214.1,2046.9,1073,1198.1,1275.3,2158,1153,2083.5,997.69,1877.4,1198.6
1836.5,1050.1,1945.1,924.48,1155.9,1115.9,2274.6,1384,2241,1194.9,1625,1462.6
1722.5,1008.2,1842.1,882.02,1131.6,1082.8,2280.7,1373.5,2295.2,1191.2,1382.8,1436.6
1642,1268.1,1826.1,1117.8,951.23,1329,2173.1,998.2,2198.6,873.46,1377.4,1033.7
1577.5,1325,1819.3,1182.2,825.15,1378,1926.5,837.64,2001.5,725.86,1205.3,895.59
1323.7,1040.3,1559.3,931.52,814.12,1143.5,2022.2,1127.7,2146.7,981,1043.2,1185.9
1223.7,976.42,1470.3,869.25,796.14,1097,1894.6,1250.7,2085.8,1099.4,864.21,1304.6
1096.4,1260.1,1415.3,1135.5,631.86,1335.3,1763.2,964.35,1961.4,851.5,873.36,1052.1
1172.4,1443.1,1560.5,1306.3,497.83,1462.9,1417.5,821.55,1645.3,723.93,826.52,952.47
966.67,1431.7,1387.8,1307.8,450.01,1451.1,1338.6,796.36,1604,702.1,714.94,947.06
650.57,1213.5,1033.6,1124.3,486.78,1308.9,1364.7,938.16,1691.4,828.68,581.01,1068.2
569.81,984.47,888.12,902.47,569.79,1141.9,1192.1,1161.7,1596.3,1043.2,453.3,1247.5
390.81,1086.4,728.95,1004.6,484.92,1224.7,1086.5,960.53,1455.6,866.9,513.18,1102.3
353.37,1220.9,743.39,1140.9,402.39,1317.8,983.83,802.86,1294.8,714.24,621.01,980.91
348.81,1229.4,779.25,1155,342.6,1322.3,840.34,756.77,1105.6,668.32,689.98,948.44
213.94,1116.5,601.48,1048.4,370.73,1254.9,865.57,782,1142,690.54,667.92,968.36
166.51,997.85,466.28,928.77,478.24,1172,871.51,935.35,1176.4,837.71,629.71,1087.3
165.18,1039.7,424.85,966.28,548.04,1199.6,837.38,976.73,1120.7,883.78,675.62,1120.7
188.3,1240.5,473.65,1170,528.96,1340.9,775.26,874.49,1006.6,785.14,772.87,1038.2
317.52,1359.1,607.56,1286.1,582.37,1425,631.86,797.19,820.65,707.16,816.36,979.28
293.51,1335.5,536.18,1264.7,666.11,1414.2,635.27,789.88,804.91,699.19,852.74,971.08
216.85,1178.3,377.19,1112.6,766.59,1306.5,771.72,923.41,936.84,826.89,918.48,1071.6
282.61,1085,419.99,1008.6,827.84,1227.7,873.08,976.71,990.45,878.42,1084,1104.3
444.6,1133.3,598.55,1049.2,855.3,1258.9,895.75,933.73,947.34,833.98,1281.6,1055
745.21,1224.2,893.32,1129.5,991.61,1328.6,819.48,902.53,834.7,804.42,1350.9,1026.7
844.09,1281.5,962.3,1176.5,1117.5,1376.2,930.71,902.67,926.9,800.67,1446.2,1014.4
761.93,1198.4,846.52,1101.6,1170.7,1305.5,1191.8,1012.2,1174.8,897.67,1600.9,1102.7
824.23,1112.1,868.72,1010.1,1286.4,1225.6,1330,1128.5,1313.4,1007.5,1671.4,1215.8
